"PID","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Alley","Lot_Shape","Land_Contour","Lot_Config","Land_Slope","Neighborhood","Condition_1","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Yr_Blt","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Fence","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price"
527216070,"Two_Story_1946_and_Newer","Residential_Low_Density",47,53504,"No_Alley_Access","Moderately_Irregular","HLS","CulDSac","Mod","Stone_Brook","Norm","OneFam","Two_Story","Very_Good","Average",2003,2003,"Hip","CemntBd","Wd Shng","BrkFace",603,"Excellent","Typical","PConc","Good","Typical","Gd","ALQ",1,"Unf",0,234,1650,"Excellent","Y","SBrkr",1690,1589,3279,1,0,3,1,4,1,"Excellent",12,"Mod",1,"Good","BuiltIn",2003,"Fin",3,841,"Typical","Typical","Paved",503,36,0,0,210,"No_Fence",0,6,2010,"WD ","Normal",538000
527225035,"One_and_Half_Story_Finished_All_Ages","Residential_Low_Density",152,12134,"No_Alley_Access","Slightly_Irregular","Bnk","Inside","Mod","Gilbert","Norm","OneFam","One_and_Half_Fin","Very_Good","Good",1988,2005,"Gable","Wd Sdng","Wd Sdng","None",0,"Good","Typical","Wood","Good","Typical","Av","GLQ",3,"Unf",0,132,559,"Good","Y","SBrkr",1080,672,1752,0,0,2,0,4,1,"Typical",8,"Typ",0,"No_Fireplace","Basment",1988,"RFn",2,492,"Typical","Typical","Paved",325,12,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",164000
527302110,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,13175,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Northwest_Ames","Norm","OneFam","One_Story","Above_Average","Above_Average",1978,1988,"Gable","Plywood","Plywood","Stone",119,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Rec",163,589,1542,"Typical","Y","SBrkr",2073,0,2073,1,0,2,0,3,1,"Typical",7,"Min1",2,"Typical","Attchd",1978,"Unf",2,500,"Typical","Typical","Paved",349,0,0,0,0,"Minimum_Privacy",0,2,2010,"WD ","Normal",210000
527358140,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",105,11751,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Northwest_Ames","Norm","OneFam","One_Story","Above_Average","Above_Average",1977,1977,"Hip","Plywood","Plywood","BrkFace",480,"Typical","Typical","CBlock","Good","Typical","No","BLQ",2,"Unf",0,1139,1844,"Excellent","Y","SBrkr",1844,0,1844,0,0,2,0,3,1,"Typical",7,"Typ",1,"Typical","Attchd",1977,"RFn",2,546,"Typical","Typical","Paved",0,122,0,0,0,"Minimum_Privacy",0,1,2010,"COD","Normal",190000
527368020,"Two_Story_1946_and_Newer","Floating_Village_Residential",0,7500,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Somerset","Norm","OneFam","Two_Story","Good","Average",2000,2000,"Gable","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,281,814,"Excellent","Y","SBrkr",814,860,1674,1,0,2,1,3,1,"Good",7,"Typ",0,"No_Fireplace","Attchd",2000,"RFn",2,663,"Typical","Typical","Paved",0,96,0,0,0,"No_Fence",0,1,2010,"WD ","Normal",216000
527402200,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,11241,"No_Alley_Access","Slightly_Irregular","Lvl","CulDSac","Gtl","North_Ames","Norm","OneFam","One_Story","Above_Average","Good",1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,426,1004,"Excellent","Y","SBrkr",1004,0,1004,1,0,1,0,2,1,"Typical",5,"Typ",1,"Typical","Attchd",1970,"Fin",2,480,"Typical","Typical","Paved",0,0,0,0,0,"No_Fence",700,3,2010,"WD ","Normal",149000
527402250,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,12537,"No_Alley_Access","Slightly_Irregular","Lvl","CulDSac","Gtl","North_Ames","Norm","OneFam","One_Story","Average","Above_Average",1971,2008,"Gable","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","GLQ",3,"Unf",0,344,1078,"Excellent","Y","SBrkr",1078,0,1078,1,0,1,1,3,1,"Typical",6,"Typ",1,"Fair","Attchd",1971,"Fin",2,500,"Typical","Typical","Paved",0,0,0,0,0,"No_Fence",0,4,2010,"WD ","Normal",149900
527403020,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",65,8450,"No_Alley_Access","Regular","Lvl","Inside","Gtl","North_Ames","Norm","OneFam","One_Story","Average","Above_Average",1968,1968,"Gable","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","BLQ",2,"Unf",0,281,1056,"Excellent","Y","SBrkr",1056,0,1056,1,0,1,0,3,1,"Typical",6,"Typ",1,"Fair","Attchd",1968,"Unf",1,304,"Typical","Typical","Paved",0,85,184,0,0,"No_Fence",0,7,2010,"WD ","Normal",142000
527404120,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,8400,"No_Alley_Access","Regular","Lvl","Corner","Gtl","North_Ames","Norm","OneFam","One_Story","Below_Average","Average",1970,1970,"Gable","Plywood","Plywood","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Rec",78,0,882,"Typical","Y","SBrkr",882,0,882,1,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd",1970,"Fin",2,525,"Typical","Typical","Paved",240,0,0,0,0,"Minimum_Privacy",0,4,2010,"WD ","Normal",126000
527425090,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,10500,"No_Alley_Access","Regular","Lvl","FR2","Gtl","North_Ames","Norm","OneFam","One_Story","Below_Average","Average",1971,1971,"Gable","HdBoard","HdBoard","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,432,864,"Typical","Y","SBrkr",864,0,864,0,0,1,0,3,1,"Typical",5,"Typ",1,"Poor","No_Garage",NA,"No_Garage",0,0,"No_Garage","No_Garage","Paved",0,0,0,0,0,"No_Fence",0,4,2010,"ConLI","Normal",115000
527427230,"One_Story_PUD_1946_and_Newer","Residential_High_Density",26,5858,"No_Alley_Access","Slightly_Irregular","Lvl","FR2","Gtl","North_Ames","Norm","TwnhsE","One_Story","Good","Average",1999,1999,"Gable","MetalSd","MetalSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"BLQ",0,354,1405,"Excellent","Y","SBrkr",1337,0,1337,1,0,2,0,2,1,"Good",5,"Typ",1,"Fair","Attchd",1999,"Fin",2,511,"Typical","Typical","Paved",203,68,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",184000
527451180,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Briardale","Norm","Twnhs","Two_Story","Above_Average","Average",1971,1971,"Gable","HdBoard","HdBoard","BrkFace",504,"Typical","Typical","CBlock","Typical","Typical","No","Rec",6,"Unf",0,327,483,"Typical","Y","SBrkr",483,504,987,0,0,1,1,2,1,"Typical",5,"Typ",0,"No_Fireplace","Detchd",1971,"Unf",1,264,"Typical","Typical","Paved",275,0,0,0,0,"No_Fence",0,2,2010,"COD","Normal",96000
527452190,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",53,4043,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Northpark_Villa","Norm","TwnhsE","One_Story","Above_Average","Average",1977,1977,"Gable","Plywood","Plywood","None",0,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Unf",0,709,1069,"Typical","Y","SBrkr",1069,0,1069,0,0,2,0,2,1,"Typical",4,"Typ",1,"Fair","Attchd",1977,"RFn",2,440,"Typical","Typical","Paved",0,55,0,0,165,"No_Fence",0,7,2010,"WD ","Normal",127500
527453130,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"No_Alley_Access","Regular","Lvl","FR2","Gtl","Northpark_Villa","Norm","Twnhs","Two_Story","Above_Average","Above_Average",1975,1975,"Gable","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,341,855,"Typical","Y","SBrkr",855,601,1456,0,0,2,1,3,1,"Good",6,"Typ",1,"Typical","Attchd",1975,"Unf",2,440,"Typical","Typical","Paved",173,0,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",149900
527453150,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"No_Alley_Access","Regular","Lvl","FR2","Gtl","Northpark_Villa","Norm","Twnhs","One_Story","Good","Above_Average",1975,1975,"Gable","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","Unf",7,"Unf",0,836,836,"Excellent","Y","SBrkr",836,0,836,0,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd",1975,"Unf",1,308,"Typical","Typical","Paved",0,30,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",120000
527454200,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Northpark_Villa","Norm","Twnhs","Two_Story","Above_Average","Average",1978,1978,"Gable","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Unf",0,544,855,"Fair","Y","SBrkr",855,601,1456,0,0,2,1,3,1,"Typical",7,"Typ",1,"Typical","Attchd",1978,"Unf",2,440,"Typical","Typical","Paved",26,0,0,0,0,"No_Fence",0,7,2010,"WD ","Normal",146000
528112020,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",98,11478,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Northridge_Heights","Norm","OneFam","One_Story","Very_Good","Average",2007,2008,"Gable","VinylSd","VinylSd","Stone",200,"Good","Typical","PConc","Excellent","Typical","No","GLQ",3,"Unf",0,486,1704,"Excellent","Y","SBrkr",1704,0,1704,1,0,2,0,3,1,"Good",7,"Typ",1,"Good","Attchd",2008,"RFn",3,772,"Typical","Typical","Paved",0,50,0,0,0,"No_Fence",0,5,2010,"WD ","Normal",306000
528120120,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",90,11520,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Northridge_Heights","PosN","OneFam","One_Story","Excellent","Average",2005,2005,"Hip","VinylSd","VinylSd","BrkFace",615,"Good","Typical","PConc","Excellent","Typical","No","GLQ",3,"Unf",0,1588,1698,"Excellent","Y","SBrkr",1698,0,1698,0,0,2,0,3,1,"Excellent",7,"Typ",1,"Good","Attchd",2005,"Fin",3,730,"Typical","Typical","Paved",192,74,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",275000
528138020,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",79,14122,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Northridge_Heights","Norm","OneFam","One_Story","Very_Good","Average",2005,2006,"Hip","CemntBd","CmentBd","BrkFace",240,"Good","Typical","PConc","Excellent","Typical","No","GLQ",3,"Unf",0,1794,1822,"Excellent","Y","SBrkr",1822,0,1822,0,0,2,0,3,1,"Excellent",8,"Typ",1,"Good","Attchd",2005,"RFn",3,678,"Typical","Typical","Paved",0,119,0,0,0,"No_Fence",0,2,2010,"WD ","Normal",259000
528138060,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,10171,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Northridge_Heights","Norm","OneFam","One_Story","Good","Average",2004,2004,"Gable","VinylSd","VinylSd","BrkFace",168,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,1515,1517,"Excellent","Y","SBrkr",1535,0,1535,0,0,2,0,3,1,"Good",7,"Typ",0,"No_Fireplace","Attchd",2004,"RFn",2,532,"Typical","Typical","Paved",0,0,0,0,0,"No_Fence",0,3,2010,"WD ","Normal",214000
528150070,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",100,12919,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Northridge_Heights","Norm","OneFam","One_Story","Excellent","Average",2009,2010,"Hip","VinylSd","VinylSd","Stone",760,"Excellent","Typical","PConc","Excellent","Typical","Gd","GLQ",3,"Unf",0,142,2330,"Excellent","Y","SBrkr",2364,0,2364,1,0,2,1,2,1,"Excellent",11,"Typ",2,"Good","Attchd",2009,"Fin",3,820,"Typical","Typical","Paved",0,67,0,0,0,"No_Fence",0,3,2010,"New","Partial",611657
528175010,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",44,6371,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Northridge_Heights","Norm","TwnhsE","One_Story","Good","Average",2009,2010,"Gable","VinylSd","VinylSd","Stone",128,"Good","Typical","PConc","Good","Typical","Mn","GLQ",3,"Unf",0,625,1358,"Excellent","Y","SBrkr",1358,0,1358,1,0,2,0,2,1,"Good",6,"Typ",1,"Good","Attchd",2010,"RFn",2,484,"Typical","Typical","Paved",192,35,0,0,0,"No_Fence",0,6,2010,"New","Partial",224000
528176010,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",110,14300,"No_Alley_Access","Regular","HLS","Inside","Mod","Northridge_Heights","Norm","OneFam","One_Story","Excellent","Average",2003,2004,"Hip","VinylSd","VinylSd","BrkFace",1095,"Excellent","Typical","PConc","Excellent","Typical","Gd","GLQ",3,"Unf",0,1473,2846,"Excellent","Y","SBrkr",2696,0,2696,1,0,2,1,3,1,"Excellent",10,"Typ",2,"Good","Attchd",2003,"Fin",3,958,"Typical","Typical","Paved",220,150,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",500000
528176070,"Two_Story_1946_and_Newer","Residential_Low_Density",105,13650,"No_Alley_Access","Regular","Lvl","Corner","Gtl","Northridge_Heights","Norm","OneFam","Two_Story","Very_Good","Average",2002,2002,"Gable","VinylSd","VinylSd","BrkFace",232,"Good","Typical","PConc","Good","Typical","Gd","GLQ",3,"Unf",0,1093,1671,"Excellent","Y","SBrkr",1687,563,2250,1,0,2,1,3,1,"Good",7,"Typ",1,"Excellent","Attchd",2002,"Fin",3,756,"Typical","Typical","Paved",238,130,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",320000
528181050,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",41,7132,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Northridge_Heights","Norm","TwnhsE","One_Story","Very_Good","Average",2006,2006,"Gable","VinylSd","VinylSd","Stone",178,"Good","Typical","PConc","Good","Typical","Mn","GLQ",3,"Unf",0,1346,1370,"Excellent","Y","SBrkr",1370,0,1370,0,0,2,0,2,1,"Good",6,"Typ",1,"Good","Attchd",2006,"RFn",2,484,"Typical","Typical","Paved",120,49,0,0,0,"No_Fence",0,4,2010,"WD ","Normal",205000
528188120,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density",36,2628,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Northridge_Heights","Norm","Twnhs","Two_Story","Good","Average",2003,2003,"Gable","VinylSd","Wd Shng","Stone",106,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,764,764,"Excellent","Y","SBrkr",764,862,1626,0,0,2,1,2,1,"Good",6,"Typ",0,"No_Fireplace","BuiltIn",2003,"RFn",2,474,"Typical","Typical","Paved",0,27,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",175500
528228285,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,3203,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Bloomington_Heights","Norm","TwnhsE","One_Story","Good","Average",2006,2006,"Gable","VinylSd","VinylSd","BrkFace",14,"Good","Typical","PConc","Good","Typical","Av","GLQ",3,"Unf",0,1129,1145,"Excellent","Y","SBrkr",1145,0,1145,0,0,2,0,2,1,"Good",6,"Typ",0,"No_Fireplace","Attchd",2006,"Fin",2,437,"Typical","Typical","Paved",100,116,0,0,0,"No_Fence",0,1,2010,"WD ","Normal",160000
528228440,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,3182,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Bloomington_Heights","Norm","TwnhsE","One_Story","Very_Good","Average",2004,2005,"Gable","VinylSd","VinylSd","BrkFace",16,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,1232,1256,"Excellent","Y","SBrkr",1269,0,1269,0,0,2,0,2,1,"Good",6,"Typ",1,"Typical","Attchd",2004,"Fin",2,430,"Typical","Typical","Paved",146,20,0,0,144,"No_Fence",0,4,2010,"WD ","Normal",192000
528231020,"Split_or_Multilevel","Residential_Low_Density",67,13300,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","SLvl","Good","Average",2004,2004,"Gable","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,58,384,"Excellent","Y","SBrkr",744,630,1374,1,0,2,1,3,1,"Good",7,"Typ",1,"Good","BuiltIn",2004,"Fin",2,400,"Typical","Typical","Paved",100,0,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",184500
528240070,"Two_Story_1946_and_Newer","Residential_Low_Density",0,7851,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","Two_Story","Above_Average","Average",2002,2002,"Gable","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,235,860,"Excellent","Y","SBrkr",860,1100,1960,1,0,2,1,4,1,"Good",8,"Typ",2,"Typical","BuiltIn",2002,"Fin",2,440,"Typical","Typical","Paved",288,48,0,0,0,"No_Fence",0,5,2010,"WD ","Normal",216500
528240130,"Two_Story_1946_and_Newer","Residential_Low_Density",63,8577,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","Two_Story","Good","Average",2004,2004,"Gable","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,847,847,"Excellent","Y","SBrkr",847,886,1733,0,0,2,1,3,1,"Good",7,"Typ",1,"Good","BuiltIn",2004,"Fin",2,433,"Typical","Typical","Paved",144,48,0,0,0,"No_Fence",0,4,2010,"WD ","Normal",185088
528250100,"Split_or_Multilevel","Residential_Low_Density",0,7750,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","SLvl","Good","Average",2000,2000,"Gable","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,134,384,"Excellent","Y","SBrkr",774,656,1430,0,0,2,1,3,1,"Typical",7,"Typ",1,"Typical","BuiltIn",2000,"Fin",2,400,"Typical","Typical","Paved",180,0,0,0,0,"No_Fence",0,4,2010,"WD ","Normal",180000
528292020,"Two_Story_1946_and_Newer","Residential_Low_Density",0,9505,"No_Alley_Access","Slightly_Irregular","Lvl","CulDSac","Gtl","Gilbert","Norm","OneFam","Two_Story","Good","Average",2001,2001,"Gable","VinylSd","VinylSd","BrkFace",180,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,884,884,"Excellent","Y","SBrkr",884,1151,2035,0,0,2,1,3,1,"Good",8,"Typ",1,"Good","BuiltIn",2001,"Fin",2,434,"Typical","Typical","Paved",144,48,0,0,0,"No_Fence",0,5,2010,"WD ","Normal",222500
